"sc-rbbb40-0","sc-rbbb40-0 2","sc-rbbb40-0 3","sc-1hez2tp-0","sc-1hez2tp-0 2","sc-rbbb40-0 4","sc-s1isp7-5 src","sc-s1isp7-5 src 2","sc-s1isp7-5 src 3","sc-1hez2tp-0 3","sc-s1isp7-5 src 4","sc-1hez2tp-0 4","sc-s1isp7-5 src 5","sc-1hez2tp-0 5","sc-s1isp7-5 src 6","sc-1hez2tp-0 6","sc-s1isp7-5 src 7","sc-1hez2tp-0 7","sc-s1isp7-5 src 8","sc-1hez2tp-0 8","sc-s1isp7-5 src 9","sc-1hez2tp-0 9","sc-s1isp7-5 src 10","sc-1hez2tp-0 10","sc-s1isp7-5 src 11","sc-1hez2tp-0 11","sc-s1isp7-5 src 12","sc-1hez2tp-0 12","sc-1hp8d8a-0","sc-1q7bklc-1","sc-1hp8d8a-0 2","sc-1q7bklc-1 2","sc-1hez2tp-0 13","sc-1hez2tp-0 14","sc-s1isp7-5 src 13","sc-s1isp7-5 src 14","sc-1hez2tp-0 15","sc-1hez2tp-0 16","sc-1hez2tp-0 17","sc-1hp8d8a-0 3","sc-1q7bklc-1 3","sc-1hez2tp-0 18","sc-1hez2tp-0 19","sc-s1isp7-5 src 16","sc-1hez2tp-0 20","sc-s1isp7-5 src 17","sc-1hez2tp-0 21","sc-s1isp7-5 src 18","sc-1hez2tp-0 22","sc-s1isp7-5 src 19","sc-s1isp7-5 src 20","sc-jGFFOr href","sc-jGFFOr href 2","sc-jGFFOr href 3","sc-1q7bklc-1 4"
"star-fill","star-fill","star-fill","","50% OFF up to 100","","https://www.zomato.com/mumbai/powai-restaurants","https://www.zomato.com/mumbai/powai-restaurants","https://b.zmtcdn.com/data/o2_assets/4bf016f32f05d26242cea342f30d47a31595763089.png","65 min","https://www.zomato.com/mumbai/powai-restaurants","North Indian, Biryani","https://www.zomato.com/mumbai/powai-restaurants","₹200 for one","https://b.zmtcdn.com/data/o2_assets/0b07ef18234c6fdf9365ad1c274ae0631612687510.png","525+ orders placed from here recently","https://b.zmtcdn.com/data/o2_assets/0b07ef18234c6fdf9365ad1c274ae0631612687510.png","Follows all Max Safety measures to ensure your food is safe","https://www.zomato.com/mumbai/powai-restaurants","525+ orders placed from here recently","https://b.zmtcdn.com/data/o2_assets/4bf016f32f05d26242cea342f30d47a31595763089.png","66 min","https://www.zomato.com/mumbai/powai-restaurants","Chinese, North Indian, Mughlai, Maharashtrian, Seafood, Sichuan","https://www.zomato.com/mumbai/powai-restaurants","₹200 for one","https://b.zmtcdn.com/data/o2_assets/4bf016f32f05d26242cea342f30d47a31595763089.png","125+ orders placed from here recently","Homaid - Your Alternative Kitchen","4.3","Amber","4.2","50% OFF up to 100","45 min","https://b.zmtcdn.com/data/o2_assets/695598f38d29d0e5d3f8ffe57cfdb94c1613145422.png","https://www.zomato.com/mumbai/powai-restaurants","North Indian, Chinese, Continental, Seafood, Mughlai, Desserts, Beverages","₹200 for one","1500+ orders placed from here recently","Pickle & Pint - The Paradise By Tunga","4.1","Restaurant partner follows WHO protocol","1500+ orders placed from here recently","https://b.zmtcdn.com/data/o2_assets/4bf016f32f05d26242cea342f30d47a31595763089.png","50% OFF up to 100","https://b.zmtcdn.com/data/o2_assets/4bf016f32f05d26242cea342f30d47a31595763089.png","Restaurant partner follows WHO protocol","https://b.zmtcdn.com/data/o2_assets/695598f38d29d0e5d3f8ffe57cfdb94c1613145422.png","125+ orders placed from here recently","https://www.zomato.com/mumbai/powai-restaurants","https://b.zmtcdn.com/data/o2_assets/695598f38d29d0e5d3f8ffe57cfdb94c1613145422.png","https://www.zomato.com/mumbai/homaid-your-alternative-kitchen-azad-nagar/order","https://www.zomato.com/mumbai/amber-1-near-andheri-west-station/order","https://www.zomato.com/mumbai/pickle-pint-the-paradise-by-tunga-mahakali/order",""
"star-fill","star-fill","star-fill","","50% OFF up to 100","","https://b.zmtcdn.com/data/pictures/6/19588416/4867ff1884ee309cb269957f9d055e62_o2_featured_v2.jpg","https://www.zomato.com/mumbai/powai-restaurants","https://b.zmtcdn.com/data/o2_assets/4bf016f32f05d26242cea342f30d47a31595763089.png","32 min","https://b.zmtcdn.com/data/o2_assets/4bf016f32f05d26242cea342f30d47a31595763089.png","Chinese, Seafood, Sichuan","https://www.zomato.com/mumbai/powai-restaurants","₹200 for one","https://b.zmtcdn.com/data/o2_assets/0b07ef18234c6fdf9365ad1c274ae0631612687510.png","300+ orders placed from here recently","https://b.zmtcdn.com/data/o2_assets/0b07ef18234c6fdf9365ad1c274ae0631612687510.png","Follows all Max Safety measures to ensure your food is safe","https://b.zmtcdn.com/data/pictures/6/19916266/8f4336b2cd8bd40e6a71b18e7e75027f_o2_featured_v2.jpg","300+ orders placed from here recently","https://b.zmtcdn.com/data/o2_assets/4bf016f32f05d26242cea342f30d47a31595763089.png","24 min","https://b.zmtcdn.com/data/pictures/chains/7/19261757/602e5a27ab951a16e71a89cf291bd720_o2_featured_v2.jpg","Mithai, Ice Cream","https://www.zomato.com/mumbai/powai-restaurants","₹200 for one","","250+ orders placed from here recently","Chopssticks Since 1996","3.6","Punjab Sind Premium Dairy","4.0","50% OFF up to 100","51 min","","https://www.zomato.com/mumbai/powai-restaurants","Healthy Food, North Indian","₹200 for one","200+ orders placed from here recently","Khichdi Wala","3.8","Follows all Max Safety measures to ensure your food is safe","200+ orders placed from here recently","","50% OFF up to 100","https://b.zmtcdn.com/data/o2_assets/4bf016f32f05d26242cea342f30d47a31595763089.png","","https://b.zmtcdn.com/data/o2_assets/0b07ef18234c6fdf9365ad1c274ae0631612687510.png","","","https://b.zmtcdn.com/data/o2_assets/0b07ef18234c6fdf9365ad1c274ae0631612687510.png","https://www.zomato.com/mumbai/chopssticks-since-1996-vikhroli/order","https://www.zomato.com/mumbai/punjab-sind-premium-dairy-1-chandivali/order","https://www.zomato.com/mumbai/khichdi-wala-chembur/order",""
"star-fill","star-fill","star-fill","","50% OFF up to 100","","https://b.zmtcdn.com/data/pictures/chains/3/46783/b5084b797b0ba05e7a46cde005a7c514_o2_featured_v2.jpg","https://www.zomato.com/mumbai/powai-restaurants","https://www.zomato.com/mumbai/powai-restaurants","38 min","https://www.zomato.com/mumbai/powai-restaurants","Desserts, Beverages, Ice Cream, Waffle, Shake","https://www.zomato.com/mumbai/powai-restaurants","₹200 for one","https://www.zomato.com/mumbai/powai-restaurants","1100+ orders placed from here recently","https://www.zomato.com/mumbai/powai-restaurants","Follows all Max Safety measures to ensure your food is safe","https://b.zmtcdn.com/data/pictures/9/19207299/c7c6d72528df282ab534ff0377ee0e9b_o2_featured_v2.jpg","1100+ orders placed from here recently","https://www.zomato.com/mumbai/powai-restaurants","30 min","https://b.zmtcdn.com/data/pictures/chains/7/19441617/d5ab4db356e241c03dca3b3af6cfb779_o2_featured_v2.jpg","South Indian, Beverages","https://www.zomato.com/mumbai/powai-restaurants","₹200 for one","","275+ orders placed from here recently","Ice Cream Factory & Shahi Durbar","4.3","Maheshwari Dosa","4.1","50% OFF up to 100","50 min","","","Waffle, Desserts, Beverages","₹200 for one","Follows all Max Safety measures to ensure your food is safe","The Waffle Jar","3.1","","","","50% OFF up to 100","","","","","","","https://www.zomato.com/mumbai/ice-cream-factory-shahi-durbar-mahakali/order","https://www.zomato.com/mumbai/maheshwari-dosa-sakinaka/order","https://www.zomato.com/mumbai/the-waffle-jar-mahakali/order",""
"star-fill","star-fill","star-fill","","50% OFF up to 100","","https://b.zmtcdn.com/data/pictures/8/35598/378013c10402289e162553523fc6127b_o2_featured_v2.JPG","https://www.zomato.com/mumbai/powai-restaurants","https://www.zomato.com/mumbai/powai-restaurants","45 min","https://www.zomato.com/mumbai/powai-restaurants","North Indian, Chinese, Malwani, Mughlai, Kebab, Sichuan","https://www.zomato.com/mumbai/powai-restaurants","₹300 for one","https://www.zomato.com/mumbai/powai-restaurants","650+ orders placed from here recently","https://www.zomato.com/mumbai/powai-restaurants","Follows all Max Safety measures to ensure your food is safe","https://b.zmtcdn.com/data/pictures/3/19602643/fc13c4310cceb5608bddaff855d985c3_o2_featured_v2.jpg","650+ orders placed from here recently","https://www.zomato.com/mumbai/powai-restaurants","31 min","https://b.zmtcdn.com/data/pictures/chains/1/20255511/1932928a70f48c63acdd336c8e162a54_o2_featured_v2.jpg","Lebanese, Rolls, Fast Food, Beverages","https://www.zomato.com/mumbai/powai-restaurants","₹300 for one","","625+ orders placed from here recently","Nagpal Fish Fry","3.8","Shawarma Spot","4.1","50% OFF up to 100","34 min","","","South Indian, Continental, Pasta, Pizza, Fast Food, Salad, Desserts, Beverages","₹300 for one","250+ orders placed from here recently","Body Power Cafe","4.0","","","","50% OFF up to 100","","","","","","","https://www.zomato.com/mumbai/nagpal-fish-fry-chakala/order","https://www.zomato.com/mumbai/shawarma-spot-powai/order","https://www.zomato.com/mumbai/body-power-cafe-powai/order",""
"star-fill","","star-fill","Pro extra 15% OFF","50% OFF up to 100","star-fill","https://www.zomato.com/mumbai/powai-restaurants","https://www.zomato.com/mumbai/powai-restaurants","https://www.zomato.com/mumbai/powai-restaurants","74 min","https://www.zomato.com/mumbai/powai-restaurants","South Indian, Street Food, Sandwich, Biryani, Juices, Beverages","https://www.zomato.com/mumbai/powai-restaurants","₹300 for one","https://www.zomato.com/mumbai/powai-restaurants","150+ orders placed from here recently","https://www.zomato.com/mumbai/powai-restaurants","Restaurant partner follows WHO protocol","https://www.zomato.com/mumbai/powai-restaurants","150+ orders placed from here recently","https://www.zomato.com/mumbai/powai-restaurants","55 min","https://www.zomato.com/mumbai/powai-restaurants","Chinese, Fast Food, Sichuan","https://www.zomato.com/mumbai/powai-restaurants","₹300 for one","https://www.zomato.com/mumbai/powai-restaurants","1250+ orders placed from here recently","Balaji - Pure Veg","4.0","Mezban Only Chinese","","50% OFF up to 100","68 min","https://www.zomato.com/mumbai/powai-restaurants","https://www.zomato.com/mumbai/powai-restaurants","North Indian, Chinese, Sichuan","₹300 for one","875+ orders placed from here recently","Grasshopper","4.1","Follows all Max Safety measures to ensure your food is safe","875+ orders placed from here recently","https://www.zomato.com/mumbai/powai-restaurants","50% OFF up to 100","https://www.zomato.com/mumbai/powai-restaurants","Follows all Max Safety measures to ensure your food is safe","https://www.zomato.com/mumbai/powai-restaurants","1250+ orders placed from here recently","https://www.zomato.com/mumbai/powai-restaurants","https://www.zomato.com/mumbai/powai-restaurants","https://www.zomato.com/mumbai/balaji-pure-veg-vile-parle-west/order","https://www.zomato.com/mumbai/mezban-only-chinese-jogeshwari/order","https://www.zomato.com/mumbai/grasshopper-vile-parle-west/order","3.2"
"star-fill","","star-fill","","50% OFF up to 100","star-fill","https://www.zomato.com/mumbai/powai-restaurants","https://www.zomato.com/mumbai/powai-restaurants","","51 min","https://www.zomato.com/mumbai/powai-restaurants","Burger, Sandwich, Fast Food, Chinese","","₹300 for one","","450+ orders placed from here recently","","Restaurant partner follows WHO protocol","https://www.zomato.com/mumbai/powai-restaurants","450+ orders placed from here recently","https://www.zomato.com/mumbai/powai-restaurants","47 min","https://www.zomato.com/mumbai/powai-restaurants","Chinese, Italian, Fast Food, Momos, Sichuan","https://www.zomato.com/mumbai/powai-restaurants","₹300 for one","https://www.zomato.com/mumbai/powai-restaurants","100+ orders placed from here recently","M Fast Food","3.7","Pari Foods","","50% OFF up to 100","32 min","https://www.zomato.com/mumbai/powai-restaurants","https://www.zomato.com/mumbai/powai-restaurants","Chinese, North Indian, Kebab, Sichuan","₹300 for one","575+ orders placed from here recently","Shaolin","4.2","Restaurant partner follows WHO protocol","575+ orders placed from here recently","https://www.zomato.com/mumbai/powai-restaurants","50% OFF up to 100","https://www.zomato.com/mumbai/powai-restaurants","","","","https://www.zomato.com/mumbai/powai-restaurants","https://www.zomato.com/mumbai/powai-restaurants","https://www.zomato.com/mumbai/m-fast-food-1-mahakali/order","https://www.zomato.com/mumbai/pari-foods-near-andheri-east-station/order","https://www.zomato.com/mumbai/shaolin-powai/order","3.4"
"","star-fill","star-fill","Pro extra 15% OFF","50% OFF up to 100","star-fill","https://www.zomato.com/mumbai/powai-restaurants","https://www.zomato.com/mumbai/powai-restaurants","https://www.zomato.com/mumbai/powai-restaurants","49 min","https://www.zomato.com/mumbai/powai-restaurants","North Indian, Chinese, Seafood, Mughlai, Fast Food, Continental, Beverages, Desserts","https://www.zomato.com/mumbai/powai-restaurants","₹300 for one","https://www.zomato.com/mumbai/powai-restaurants","450+ orders placed from here recently","https://www.zomato.com/mumbai/powai-restaurants","Follows all Max Safety measures to ensure your food is safe","https://www.zomato.com/mumbai/powai-restaurants","450+ orders placed from here recently","https://www.zomato.com/mumbai/powai-restaurants","30 min","https://www.zomato.com/mumbai/powai-restaurants","South Indian, North Indian, Chinese, Kebab, Beverages, Sichuan","https://www.zomato.com/mumbai/powai-restaurants","₹300 for one","https://www.zomato.com/mumbai/powai-restaurants","100+ orders placed from here recently","Cocoon- Dragonfly Hotel","","Classic Veg & Non Veg","4.2","50% OFF up to 100","37 min","https://www.zomato.com/mumbai/powai-restaurants","https://www.zomato.com/mumbai/powai-restaurants","Chinese, North Indian, Kebab, Sichuan","₹300 for one","50+ orders placed from here recently","La Hadippa","3.4","Follows all Max Safety measures to ensure your food is safe","50+ orders placed from here recently","https://www.zomato.com/mumbai/powai-restaurants","50% OFF up to 100","https://www.zomato.com/mumbai/powai-restaurants","Restaurant partner follows WHO protocol","https://www.zomato.com/mumbai/powai-restaurants","100+ orders placed from here recently","https://www.zomato.com/mumbai/powai-restaurants","https://www.zomato.com/mumbai/powai-restaurants","https://www.zomato.com/mumbai/cocoon-dragonfly-hotel-chakala/order","https://www.zomato.com/mumbai/classic-veg-non-veg-powai/order","https://www.zomato.com/mumbai/la-hadippa-chandivali/order","3.5"
"star-fill","","star-fill","Pro extra 15% OFF","50% OFF up to 100","star-fill","https://b.zmtcdn.com/data/pictures/2/19621032/27b4443f3be7cd8b270f29cd40467c37_o2_featured_v2.jpg","https://www.zomato.com/mumbai/powai-restaurants","https://b.zmtcdn.com/data/o2_assets/4bf016f32f05d26242cea342f30d47a31595763089.png","74 min","https://www.zomato.com/mumbai/powai-restaurants","South Indian, Street Food, Sandwich, Biryani, Juices, Beverages","https://www.zomato.com/mumbai/powai-restaurants","₹300 for one","https://b.zmtcdn.com/data/o2_assets/0b07ef18234c6fdf9365ad1c274ae0631612687510.png","150+ orders placed from here recently","https://b.zmtcdn.com/data/o2_assets/0b07ef18234c6fdf9365ad1c274ae0631612687510.png","Restaurant partner follows WHO protocol","https://b.zmtcdn.com/data/pictures/chains/0/18559420/db64836a31ac896c2386a448cbb79eb4_o2_featured_v2.jpg","150+ orders placed from here recently","https://b.zmtcdn.com/data/o2_assets/4bf016f32f05d26242cea342f30d47a31595763089.png","55 min","https://b.zmtcdn.com/data/pictures/9/35889/0e8fa2c1097a3045acf2d399af499a80_o2_featured_v2.jpg","Chinese, Fast Food, Sichuan","https://www.zomato.com/mumbai/powai-restaurants","₹300 for one","https://b.zmtcdn.com/data/o2_assets/4bf016f32f05d26242cea342f30d47a31595763089.png","1250+ orders placed from here recently","Balaji - Pure Veg","4.0","Mezban Only Chinese","","50% OFF up to 100","68 min","https://b.zmtcdn.com/data/o2_assets/695598f38d29d0e5d3f8ffe57cfdb94c1613145422.png","https://www.zomato.com/mumbai/powai-restaurants","North Indian, Chinese, Sichuan","₹300 for one","875+ orders placed from here recently","Grasshopper","4.1","Follows all Max Safety measures to ensure your food is safe","875+ orders placed from here recently","https://b.zmtcdn.com/data/o2_assets/4bf016f32f05d26242cea342f30d47a31595763089.png","50% OFF up to 100","https://b.zmtcdn.com/data/o2_assets/4bf016f32f05d26242cea342f30d47a31595763089.png","Follows all Max Safety measures to ensure your food is safe","https://b.zmtcdn.com/data/o2_assets/0b07ef18234c6fdf9365ad1c274ae0631612687510.png","1250+ orders placed from here recently","https://www.zomato.com/mumbai/powai-restaurants","https://b.zmtcdn.com/data/o2_assets/0b07ef18234c6fdf9365ad1c274ae0631612687510.png","https://www.zomato.com/mumbai/balaji-pure-veg-vile-parle-west/order","https://www.zomato.com/mumbai/mezban-only-chinese-jogeshwari/order","https://www.zomato.com/mumbai/grasshopper-vile-parle-west/order","3.2"
"star-fill","","star-fill","","50% OFF up to 100","star-fill","https://b.zmtcdn.com/data/pictures/5/20265805/79fd33823d975d47283bf6d1a9096864_o2_featured_v2.jpg","https://www.zomato.com/mumbai/powai-restaurants","https://b.zmtcdn.com/data/o2_assets/4bf016f32f05d26242cea342f30d47a31595763089.png","51 min","https://b.zmtcdn.com/data/o2_assets/4bf016f32f05d26242cea342f30d47a31595763089.png","Burger, Sandwich, Fast Food, Chinese","","₹300 for one","","450+ orders placed from here recently","","Restaurant partner follows WHO protocol","https://b.zmtcdn.com/data/pictures/7/18897587/c93d82ab1901ccbcf2c9a8310336e9f4_o2_featured_v2.jpg","450+ orders placed from here recently","","47 min","https://b.zmtcdn.com/data/pictures/7/34477/c14c52ed1bb7061bdfbd62d3ce1946e2_o2_featured_v2.jpg","Chinese, Italian, Fast Food, Momos, Sichuan","https://www.zomato.com/mumbai/powai-restaurants","₹300 for one","","100+ orders placed from here recently","M Fast Food","3.7","Pari Foods","","50% OFF up to 100","32 min","https://b.zmtcdn.com/data/o2_assets/695598f38d29d0e5d3f8ffe57cfdb94c1613145422.png","https://www.zomato.com/mumbai/powai-restaurants","Chinese, North Indian, Kebab, Sichuan","₹300 for one","575+ orders placed from here recently","Shaolin","4.2","Restaurant partner follows WHO protocol","575+ orders placed from here recently","https://b.zmtcdn.com/data/o2_assets/4bf016f32f05d26242cea342f30d47a31595763089.png","50% OFF up to 100","https://b.zmtcdn.com/data/o2_assets/4bf016f32f05d26242cea342f30d47a31595763089.png","","https://b.zmtcdn.com/data/o2_assets/695598f38d29d0e5d3f8ffe57cfdb94c1613145422.png","","https://www.zomato.com/mumbai/powai-restaurants","https://b.zmtcdn.com/data/o2_assets/695598f38d29d0e5d3f8ffe57cfdb94c1613145422.png","https://www.zomato.com/mumbai/m-fast-food-1-mahakali/order","https://www.zomato.com/mumbai/pari-foods-near-andheri-east-station/order","https://www.zomato.com/mumbai/shaolin-powai/order","3.4"
"","star-fill","star-fill","Pro extra 15% OFF","50% OFF up to 100","star-fill","https://b.zmtcdn.com/data/pictures/0/42630/7366c7cccc59835eb49aaec37c056c85_o2_featured_v2.jpg","https://www.zomato.com/mumbai/powai-restaurants","https://www.zomato.com/mumbai/powai-restaurants","49 min","https://www.zomato.com/mumbai/powai-restaurants","North Indian, Chinese, Seafood, Mughlai, Fast Food, Continental, Beverages, Desserts","https://www.zomato.com/mumbai/powai-restaurants","₹300 for one","https://www.zomato.com/mumbai/powai-restaurants","450+ orders placed from here recently","https://www.zomato.com/mumbai/powai-restaurants","Follows all Max Safety measures to ensure your food is safe","https://b.zmtcdn.com/data/pictures/chains/5/38195/71867aa749bfcab350828b22b128a74a_o2_featured_v2.jpg","450+ orders placed from here recently","https://www.zomato.com/mumbai/powai-restaurants","30 min","https://b.zmtcdn.com/data/pictures/4/20062324/ebeba266ad056b0cea20314127deca67_o2_featured_v2.jpg","South Indian, North Indian, Chinese, Kebab, Beverages, Sichuan","https://www.zomato.com/mumbai/powai-restaurants","₹300 for one","https://www.zomato.com/mumbai/powai-restaurants","100+ orders placed from here recently","Cocoon- Dragonfly Hotel","","Classic Veg & Non Veg","4.2","50% OFF up to 100","37 min","https://www.zomato.com/mumbai/powai-restaurants","https://www.zomato.com/mumbai/powai-restaurants","Chinese, North Indian, Kebab, Sichuan","₹300 for one","50+ orders placed from here recently","La Hadippa","3.4","Follows all Max Safety measures to ensure your food is safe","50+ orders placed from here recently","https://www.zomato.com/mumbai/powai-restaurants","50% OFF up to 100","https://www.zomato.com/mumbai/powai-restaurants","Restaurant partner follows WHO protocol","https://www.zomato.com/mumbai/powai-restaurants","100+ orders placed from here recently","https://www.zomato.com/mumbai/powai-restaurants","https://www.zomato.com/mumbai/powai-restaurants","https://www.zomato.com/mumbai/cocoon-dragonfly-hotel-chakala/order","https://www.zomato.com/mumbai/classic-veg-non-veg-powai/order","https://www.zomato.com/mumbai/la-hadippa-chandivali/order","3.5"
"star-fill","star-fill","star-fill","Pro extra 20% OFF","50% OFF up to 100","","https://www.zomato.com/mumbai/powai-restaurants","https://www.zomato.com/mumbai/powai-restaurants","https://www.zomato.com/mumbai/powai-restaurants","36 min","https://www.zomato.com/mumbai/powai-restaurants","Bakery, Desserts","https://www.zomato.com/mumbai/powai-restaurants","₹200 for one","https://www.zomato.com/mumbai/powai-restaurants","1475+ orders placed from here recently","https://www.zomato.com/mumbai/powai-restaurants","Follows all Max Safety measures to ensure your food is safe","https://www.zomato.com/mumbai/powai-restaurants","1475+ orders placed from here recently","https://www.zomato.com/mumbai/powai-restaurants","49 min","https://www.zomato.com/mumbai/powai-restaurants","North Indian, South Indian, Chinese, Fast Food, Beverages, Shake, Desserts","https://www.zomato.com/mumbai/powai-restaurants","₹200 for one","","1700+ orders placed from here recently","The Cake House","4.0","Achija","4.2","50% OFF up to 100","38 min","","","Maharashtrian","₹200 for one","4800+ orders placed from here recently","Aai Shappath Marathi - Pure Veg","4.0","","","","50% OFF up to 100","","","","","","","https://www.zomato.com/mumbai/the-cake-house-ghatkopar-west/order","https://www.zomato.com/mumbai/achija-ghatkopar-west/order","https://www.zomato.com/mumbai/aai-shappath-marathi-pure-veg-ghatkopar-west/order",""
"star-fill","star-fill","star-fill","","50% OFF up to 100","","https://www.zomato.com/mumbai/powai-restaurants","https://www.zomato.com/mumbai/powai-restaurants","https://www.zomato.com/mumbai/powai-restaurants","42 min","https://www.zomato.com/mumbai/powai-restaurants","North Indian, Chinese, Sichuan","https://www.zomato.com/mumbai/powai-restaurants","₹200 for one","https://www.zomato.com/mumbai/powai-restaurants","2800+ orders placed from here recently","https://www.zomato.com/mumbai/powai-restaurants","Follows all Max Safety measures to ensure your food is safe","https://www.zomato.com/mumbai/powai-restaurants","2800+ orders placed from here recently","https://www.zomato.com/mumbai/powai-restaurants","48 min","https://www.zomato.com/mumbai/powai-restaurants","Chinese, North Indian, Italian, Sichuan","https://www.zomato.com/mumbai/powai-restaurants","₹200 for one","","2000+ orders placed from here recently","Green Chatni Food","4.1","Ghatkopar Jolly Gymkhana","4.1","50% OFF up to 100","37 min","","","Cafe, Beverages, Desserts, Burger, Pizza","₹200 for one","1200+ orders placed from here recently","Third Wave Coffee","4.0","","","","50% OFF up to 100","https://www.zomato.com/mumbai/powai-restaurants","Follows all Max Safety measures to ensure your food is safe","https://www.zomato.com/mumbai/powai-restaurants","2000+ orders placed from here recently","https://www.zomato.com/mumbai/powai-restaurants","https://www.zomato.com/mumbai/powai-restaurants","https://www.zomato.com/mumbai/green-chatni-food-ghatkopar-west/order","https://www.zomato.com/mumbai/ghatkopar-jolly-gymkhana-ghatkopar-west/order","https://www.zomato.com/mumbai/third-wave-coffee-ghatkopar-west/order",""
"star-fill","star-fill","star-fill","","50% OFF up to 100","","https://www.zomato.com/mumbai/powai-restaurants","https://www.zomato.com/mumbai/powai-restaurants","https://www.zomato.com/mumbai/powai-restaurants","51 min","https://www.zomato.com/mumbai/powai-restaurants","South Indian, North Indian, Chinese, Street Food, Desserts, Fast Food, Beverages, Sichuan","https://www.zomato.com/mumbai/powai-restaurants","₹200 for one","https://www.zomato.com/mumbai/powai-restaurants","3400+ orders placed from here recently","https://www.zomato.com/mumbai/powai-restaurants","Follows all Max Safety measures to ensure your food is safe","https://www.zomato.com/mumbai/powai-restaurants","3400+ orders placed from here recently","https://www.zomato.com/mumbai/powai-restaurants","39 min","https://www.zomato.com/mumbai/powai-restaurants","Chinese, Fast Food, North Indian, South Indian, Street Food, Sandwich, Beverages, Desserts","https://www.zomato.com/mumbai/powai-restaurants","₹200 for one","","675+ orders placed from here recently","Guru Krupa","4.0","Bharat Cafe","4.0","50% OFF up to 100","35 min","","","Mithai, Desserts","₹200 for one","1175+ orders placed from here recently","Jain Dugdhalay Sneh","4.4","","","","50% OFF up to 100","","","","","","","https://www.zomato.com/mumbai/guru-krupa-ghatkopar-east/order","https://www.zomato.com/mumbai/bharat-cafe-ghatkopar-west/order","https://www.zomato.com/mumbai/jain-dugdhalay-sneh-ghatkopar-west/order",""
"star-fill","","star-fill","","50% OFF up to 100","star-fill","https://www.zomato.com/mumbai/powai-restaurants","https://www.zomato.com/mumbai/powai-restaurants","https://www.zomato.com/mumbai/powai-restaurants","45 min","https://www.zomato.com/mumbai/powai-restaurants","Italian, Continental, Asian, North Indian, Fast Food, Desserts","https://www.zomato.com/mumbai/powai-restaurants","₹200 for one","https://www.zomato.com/mumbai/powai-restaurants","775+ orders placed from here recently","https://www.zomato.com/mumbai/powai-restaurants","Follows all Max Safety measures to ensure your food is safe","https://www.zomato.com/mumbai/powai-restaurants","775+ orders placed from here recently","https://www.zomato.com/mumbai/powai-restaurants","41 min","https://www.zomato.com/mumbai/powai-restaurants","Sandwich, Fast Food, Street Food, Shake, Sichuan","https://www.zomato.com/mumbai/powai-restaurants","₹200 for one","","2525+ orders placed from here recently","Grandmama's Cafe","3.9","Achija Fast Food","","50% OFF up to 100","52 min","","","Sandwich, Pizza, Burger, Fast Food, Beverages, Shake","₹200 for one","1075+ orders placed from here recently","Gupta Sandwich","3.9","","","","50% OFF up to 100","https://www.zomato.com/mumbai/powai-restaurants","Follows all Max Safety measures to ensure your food is safe","https://www.zomato.com/mumbai/powai-restaurants","2525+ orders placed from here recently","https://www.zomato.com/mumbai/powai-restaurants","https://www.zomato.com/mumbai/powai-restaurants","https://www.zomato.com/mumbai/grandmamas-cafe-2-ghatkopar-west/order","https://www.zomato.com/mumbai/achija-fast-food-ghatkopar-east/order","https://www.zomato.com/mumbai/gupta-sandwich-ghatkopar-east/order","3.4"
"star-fill","star-fill","star-fill","","50% OFF up to 100","","https://www.zomato.com/mumbai/powai-restaurants","https://www.zomato.com/mumbai/powai-restaurants","https://www.zomato.com/mumbai/powai-restaurants","48 min","https://www.zomato.com/mumbai/powai-restaurants","North Indian, Street Food, South Indian, Fast Food, Biryani, Sandwich, Desserts, Beverages","https://www.zomato.com/mumbai/powai-restaurants","₹200 for one","https://www.zomato.com/mumbai/powai-restaurants","600+ orders placed from here recently","https://www.zomato.com/mumbai/powai-restaurants","Follows all Max Safety measures to ensure your food is safe","https://www.zomato.com/mumbai/powai-restaurants","600+ orders placed from here recently","https://www.zomato.com/mumbai/powai-restaurants","50 min","https://www.zomato.com/mumbai/powai-restaurants","North Indian, Mughlai, Chinese, Desserts, Sichuan, Kebab, Malwani, Beverages","https://www.zomato.com/mumbai/powai-restaurants","₹200 for one","https://www.zomato.com/mumbai/powai-restaurants","500+ orders placed from here recently","Radha Krishna","3.6","R.K. Wine N Dine","4.0","50% OFF up to 100","50 min","https://www.zomato.com/mumbai/powai-restaurants","https://www.zomato.com/mumbai/powai-restaurants","Biryani, North Indian, Kebab, Desserts","₹200 for one","450+ orders placed from here recently","The Biryani Kahani","3.8","Follows all Max Safety measures to ensure your food is safe","450+ orders placed from here recently","https://www.zomato.com/mumbai/powai-restaurants","50% OFF up to 100","https://www.zomato.com/mumbai/powai-restaurants","Follows all Max Safety measures to ensure your food is safe","https://www.zomato.com/mumbai/powai-restaurants","500+ orders placed from here recently","https://www.zomato.com/mumbai/powai-restaurants","https://www.zomato.com/mumbai/powai-restaurants","https://www.zomato.com/mumbai/radha-krishna-ghatkopar-west/order","https://www.zomato.com/mumbai/r-k-wine-n-dine-ghatkopar-west/order","https://www.zomato.com/mumbai/the-biryani-kahani-ghatkopar-west/order",""
